Address_Id,Customer_Id,Address_Line_1,Address_Line_2,Address_Line_3,Address_Line_4,Town_City,State_Country_Province,Country,Post_Zip_Country,Other_Address_Details
1,727,E5Z3,Oklahoma,Selkirkshire,Kentucky,Montgomery,Honduras,Tonga,Italy,R
2,818,SG80R10IDAP8Q3,Anchorage,Tyrone,Iowa,St. Paul,Syria,Cape Verde,Kenya,OPADG
3,769,CBQWTNX3OXZ31CUOQO3,Montgomery,Banffshire,Indiana,Bakersfield,Nigeria,Guinea,Austria,YN9IOZ927Y65AOIO
4,559,99HYK0HCHNM2WLF2F3AN,Boston,Surrey,New York,Yonkers,Aruba,Estonia,Latvia,
5,207,CJ,Tampa,Berkshire,Mississippi,Glendale,Guinea-Bissau,Somalia,Ethiopia,VB4V3B847
6,4,SXY6JLYJM1T2TRCS5LM,Memphis,Cheshire,Washington,Des Moines,Norway,Malvinas,Israel,72M6HUE6LQM4JK
7,907,AW7FWR9NEF5XQE6M1BT,Nashville,Kirkcudbrightshire,Delaware,Anaheim,Argentina,Liberia,United Kingdom,VI7N280RRI522KY9
8,443,O2,Tacoma,Warwickshire,West Virginia,Cincinnati,Uzbekistan,Kazakhstan,Vanuatu,SYV5B0NG9
9,978,USC8NQIHAQH,Charlotte,Westmorland,New Jersey,Aurora,Sri Lanka,Venezuela,Belarus,27XRRKN7S1H42
10,274,VPI9,Albuquerque,Orkney,Colorado,Omaha,Swaziland,Denmark,Mongolia,AVOCRBLNG2CKP3KIJ
11,292,CA57V,Buffalo,Lancashire,Wisconsin,Akron,Jordan,Congo,Tuvalu,SVXJUQDIFD581NVOU
12,468,CE,Lincoln,Caithness,Maine,Jacksonville,Ukraine,Philippines,Liberia,BBPYQFQUF6U
13,633,PQURPD8G,Anchorage,Somerset,Arkansas,Richmond,Jersey,Bulgaria,Somalia,M9HAC78Q0
14,470,NJJLWVYV68MAW,Chicago,Ayrshire,Arkansas,Louisville,Bermuda,Nepal,Cameroon,Y
15,983,21JDW8YW0T,Phoenix,Renfrewshire,Missouri,Memphis,Tajikistan,Micronesia,Finland,W8H80OP08478HU5
16,31,1RNI04JEDVP8RE980O3,Garland,Angus,Delaware,Jackson,India,Angola,Nicaragua,S0B7NVQWQR
17,863,AS8S,Indianapolis,Argyll,Wisconsin,Albuquerque,Singapore,Denmark,New Caledonia,OF3FECG2IYITQH
18,996,6ZB8E,Hialeah,Westmorland,California,Aurora,Grenada,Uzbekistan,Mexico,BH2
19,678,JPIV4,Richmond,Renfrewshire,South Dakota,Yonkers,Switzerland,Timor-Leste,Turkey,TH1QY0MRL1HLI9C
