Manufacturer_Shortname,Manufacturer_FullName,Manufacturer_Other_Details
Aaron337,Mark O'Connor,
Aaron387,Kelvin Lang,4D
Aaron941,Isabel Contreras,BH
Abel419,Daniel Richards,
Adrian653,Ryan Cantu,DLDSZ0U4ZKTDL2UZY
Adriana482,Deana Beard,M288
Adrienne411,Melisa Carrillo,EB2ACTKZD
Adrienne765,Christian Holmes,KFR3ZDJHZA71J5Q2
Aimee938,Fred Lam,DSAWXS309A4DICE6WXJ
Aisha122,Erika Waller,L7
Alana003,Jodi Harrell,A58FCCSZUNKFDZ
Alana328,Ricardo Ayala,Z0HY1SQKPWVF18
Albert772,Edward Stevens,RP8VJ51IU65WB
Alejandro019,Morgan Larson,B9CJ
Alejandro64,Emily Sampson,AY5J93ZEFSMCYARV
Alex138,Jesus Chambers,T1UYT1C
Alexis936,Darin Rowe,ADIK0IS2MCJWDMF
Alfonso144,Ebony Lowery,LPD
Alfredo212,Antonio Sharp,33X7DY2N84C
Alfredo324,Andre Vega,ANG7FV7P98P1MJBX3N2
Alicia67,Chasity Bradshaw,4JSM2RBBC0BM2BWWKM
Alicia840,Scot Burton,8WC6
Alisa658,Julio Raymond,GNI
Alison384,Victoria Drake,JQNPSQZNR4CBZN99K1L
Alison573,Duane Boone,QTW5RFTRF7O
Alison591,Patrick Henson,
Alison739,Matthew Henderson,3T8WBQMS5
Alison74,Ruben Brewer,UZLII
Alissa903,Mandy Stout,NBE5DUP44
Allan572,Dexter Chase,54RVC9H49AOO
Allison051,Jason Cardenas,05XNA
Allison380,Donovan Marks,I0KWMHZU7MS9O
Allyson780,Marcos Bentley,BF7KNCY3IW0
Alma546,Carl Lucero,7V0
Alonzo185,Milton Lester,GEO6CP7VO
Alonzo466,Jenna Pineda,U4S
Alonzo57,Kurt Ritter,COWDT2PW4VOIJ9KD4
Alvin155,Mia Rowland,
Alyssa98,Jenny Charles,YQ14CKYT2LM2P6
Amelia08,Dora Rasmussen,QHB
Amie696,Gabriel Schultz,8KMTS3KA1X6C
Amie949,Marlon Campos,0I3YBXZTPSN9IC
Ana09,Alan Mccoy,VCDMFH99VR83GCFMDRCW
Ana594,Erica Craig,3H
